"Localidades";"Períodos";"Matrículas na Educação Infantil ";"Matrículas na Educação Infantil - Rede Municipal ";"Matrículas na Educação Infantil - Rede Particular ";"Matrículas no Ensino Fundamental ";"Matrículas no Ensino Fundamental - Rede Estadual ";"Matrículas no Ensino Fundamental - Rede Municipal ";"Matrículas no Ensino Fundamental - Rede Privada ";"Matrículas no Ensino Médio ";"Matrículas no Ensino Médio - Rede Estadual ";"Matrículas no Ensino Médio - Rede Municipal ";"Matrículas no Ensino Médio - Rede Particular ";"Matrículas na Educação Especial ";"Matrículas na Educação Especial - Rede Estadual ";"Matrículas na Educação Especial - Rede Municipal ";"Matrículas na Educação Especial - Rede Particular ";"Cód. IBGE"
"Artur Nogueira";"2015";"2569";"2237";"332";"6187";"2242";"3094";"851";"1897";"1720";"-";"177";"177";"40";"47";"90";3503802
"Artur Nogueira";"2016";"2406";"2088";"318";"6294";"2208";"3186";"900";"1959";"1781";"-";"178";"184";"51";"49";"84";3503802
"Artur Nogueira";"2017";"2444";"2035";"409";"6346";"2151";"3239";"956";"1936";"1792";"-";"144";"232";"68";"78";"86";3503802
"Artur Nogueira";"2018";"2400";"1975";"425";"6555";"2317";"3252";"986";"1685";"1582";"";"103";"236";"78";"75";"83";3503802
"Arujá";"2014";"4179";"3483";"696";"12732";"5264";"5692";"1776";"4723";"4267";"-";"456";"150";"-";"-";"150";3503901
"Arujá";"2015";"4408";"3657";"751";"12589";"5077";"5686";"1826";"4445";"4016";"-";"429";"536";"253";"124";"159";3503901
"Arujá";"2016";"4495";"3748";"747";"12462";"4884";"5748";"1830";"4504";"4117";"-";"387";"517";"215";"129";"173";3503901
"Arujá";"2017";"4369";"3708";"661";"12440";"4815";"5790";"1835";"4250";"3890";"-";"360";"573";"243";"175";"155";3503901
"Arujá";"2018";"4464";"3758";"706";"12430";"4746";"5833";"1851";"4153";"3786";"";"367";"540";"223";"165";"152";3503901
"Aspásia";"2014";"81";"81";"-";"192";"172";"20";"-";"60";"60";"-";"-";"-";"-";"-";"-";3503950
"Aspásia";"2015";"85";"85";"-";"181";"163";"18";"-";"63";"63";"-";"-";"6";"4";"2";"-";3503950
"Aspásia";"2016";"94";"94";"-";"197";"176";"21";"-";"68";"68";"-";"-";"7";"6";"1";"-";3503950
"Aspásia";"2017";"100";"100";"-";"202";"168";"34";"-";"61";"61";"-";"-";"7";"6";"1";"-";3503950
"Aspásia";"2018";"95";"95";"";"193";"179";"14";"";"59";"59";"";"";"8";"8";"-";"";3503950
"Assis";"2014";"4770";"3719";"1040";"11069";"3946";"5101";"2022";"3412";"2806";"-";"606";"112";"-";"-";"112";3504008
"Assis";"2015";"5058";"3997";"1050";"11128";"4026";"4917";"2185";"3363";"2756";"-";"607";"383";"219";"83";"81";3504008
"Assis";"2016";"5136";"4097";"1024";"11055";"3872";"5039";"2144";"3521";"2933";"-";"588";"440";"255";"106";"79";3504008
"Assis";"2017";"5006";"4084";"912";"11085";"3855";"5074";"2156";"3435";"2829";"-";"606";"561";"315";"159";"87";3504008
"Assis";"2018";"5078";"4107";"958";"11206";"3903";"5064";"2239";"3193";"2622";"";"571";"631";"372";"172";"87";3504008
"Atibaia";"2014";"6343";"4292";"2051";"19269";"7543";"7887";"3839";"6852";"5611";"-";"1241";"129";"-";"-";"129";3504107
"Atibaia";"2015";"6558";"4442";"2116";"19119";"7107";"7939";"4073";"6728";"5468";"-";"1260";"624";"212";"231";"181";3504107
"Atibaia";"2016";"7153";"5081";"2072";"19682";"7593";"8037";"4052";"6307";"5158";"-";"1149";"684";"292";"246";"146";3504107
"Atibaia";"2017";"7267";"5244";"2023";"19823";"7594";"8213";"4016";"5928";"4817";"-";"1111";"799";"322";"329";"148";3504107
"Atibaia";"2018";"7961";"5512";"2449";"19581";"7345";"8245";"3991";"5842";"4682";"";"1160";"868";"377";"336";"155";3504107
"Auriflama";"2014";"484";"406";"78";"1504";"597";"668";"239";"507";"421";"-";"86";"35";"-";"-";"35";3504206
"Auriflama";"2015";"449";"368";"81";"1453";"552";"658";"243";"489";"411";"-";"78";"49";"16";"12";"21";3504206
"Auriflama";"2016";"473";"394";"79";"1438";"570";"607";"261";"535";"459";"-";"76";"45";"13";"12";"20";3504206
"Auriflama";"2017";"496";"418";"78";"1414";"550";"602";"262";"506";"433";"-";"73";"45";"16";"14";"15";3504206
"Auriflama";"2018";"490";"413";"77";"1377";"501";"621";"255";"499";"425";"";"74";"38";"10";"14";"14";3504206
"Avaí";"2014";"137";"106";"18";"650";"376";"274";"-";"233";"233";"-";"-";"-";"-";"-";"-";3504305
"Avaí";"2015";"125";"98";"11";"608";"333";"275";"-";"237";"237";"-";"-";"16";"9";"7";"-";3504305
"Avaí";"2016";"127";"96";"12";"581";"299";"282";"-";"187";"187";"-";"-";"14";"6";"8";"-";3504305
"Avaí";"2017";"166";"137";"-";"574";"296";"278";"-";"190";"190";"-";"-";"15";"9";"6";"-";3504305
"Avaí";"2018";"175";"148";"-";"525";"277";"248";"";"177";"177";"";"";"14";"11";"3";"";3504305
"Avanhandava";"2014";"599";"480";"119";"1411";"493";"730";"188";"385";"336";"-";"49";"-";"-";"-";"-";3504404
"Avanhandava";"2015";"592";"535";"57";"1338";"462";"703";"173";"377";"313";"-";"64";"77";"16";"58";"3";3504404
"Avanhandava";"2016";"572";"530";"42";"1333";"483";"706";"144";"401";"332";"-";"69";"81";"31";"49";"1";3504404
"Avanhandava";"2017";"559";"499";"60";"1358";"497";"732";"129";"354";"308";"-";"46";"88";"44";"43";"1";3504404
"Avanhandava";"2018";"613";"528";"85";"1443";"537";"736";"170";"339";"292";"";"47";"94";"58";"36";"-";3504404
"Avaré";"2014";"4361";"3220";"1141";"11275";"4327";"4950";"1998";"3520";"2865";"-";"577";"187";"-";"8";"179";3504503
"Avaré";"2015";"4686";"3485";"1201";"11297";"4094";"5073";"2130";"3534";"2770";"-";"587";"388";"102";"158";"128";3504503
"Avaré";"2016";"4682";"3418";"1264";"11205";"4066";"4991";"2148";"3556";"2729";"-";"570";"377";"111";"139";"121";3504503
"Avaré";"2017";"4623";"3382";"1241";"10981";"3901";"4891";"2189";"3722";"2886";"-";"538";"370";"118";"148";"94";3504503
"Avaré";"2018";"4719";"3454";"1265";"10723";"3894";"4601";"2228";"3548";"2731";"";"489";"349";"128";"122";"94";3504503
"Bady Bassitt";"2014";"768";"641";"127";"1917";"379";"1348";"190";"622";"553";"-";"69";"-";"-";"-";"-";3504602
"Bady Bassitt";"2015";"798";"700";"98";"1808";"356";"1264";"188";"660";"593";"-";"67";"50";"36";"14";"-";3504602
"Bady Bassitt";"2016";"831";"731";"100";"1900";"361";"1349";"190";"655";"597";"-";"58";"51";"22";"29";"-";3504602
"Bady Bassitt";"2017";"847";"775";"72";"1950";"354";"1440";"156";"614";"566";"-";"48";"69";"27";"42";"-";3504602
"Bady Bassitt";"2018";"862";"800";"62";"2018";"366";"1515";"137";"519";"519";"";"-";"72";"37";"35";"";3504602
"Balbinos";"2014";"68";"68";"-";"133";"60";"73";"-";"50";"50";"-";"-";"-";"-";"-";"-";3504701
"Balbinos";"2015";"74";"74";"-";"135";"63";"72";"-";"43";"43";"-";"-";"3";"1";"2";"-";3504701
"Balbinos";"2016";"86";"86";"-";"146";"64";"82";"-";"41";"41";"-";"-";"5";"2";"3";"-";3504701
"Balbinos";"2017";"87";"87";"-";"139";"53";"86";"-";"43";"43";"-";"-";"4";"1";"3";"-";3504701
"Balbinos";"2018";"93";"93";"";"150";"58";"92";"";"47";"47";"";"";"6";"4";"2";"";3504701
"Bálsamo";"2014";"374";"374";"-";"824";"384";"440";"-";"315";"315";"-";"-";"-";"-";"-";"-";3504800
"Bálsamo";"2015";"367";"367";"-";"826";"350";"476";"-";"291";"291";"-";"-";"15";"4";"11";"-";3504800
"Bálsamo";"2016";"375";"375";"-";"800";"312";"488";"-";"283";"283";"-";"-";"16";"6";"10";"-";3504800
"Bálsamo";"2017";"374";"374";"-";"804";"334";"470";"-";"260";"260";"-";"-";"11";"5";"6";"-";3504800
"Bálsamo";"2018";"357";"357";"";"866";"359";"507";"";"239";"239";"";"";"23";"11";"12";"";3504800
"Bananal";"2014";"304";"304";"-";"1404";"-";"1404";"-";"438";"438";"-";"-";"-";"-";"-";"-";3504909
"Bananal";"2015";"284";"284";"-";"1310";"-";"1310";"-";"400";"400";"-";"-";"22";"5";"17";"-";3504909
"Bananal";"2016";"295";"295";"-";"1298";"-";"1298";"-";"437";"437";"-";"-";"25";"4";"21";"-";3504909
"Bananal";"2017";"316";"316";"-";"1260";"-";"1260";"-";"430";"430";"-";"-";"26";"5";"21";"-";3504909
"Bananal";"2018";"274";"274";"";"1222";"";"1222";"";"399";"399";"";"";"28";"6";"22";"";3504909
"Barão de Antonina";"2014";"133";"127";"-";"436";"231";"205";"-";"155";"155";"-";"-";"-";"-";"-";"-";3505005
"Barão de Antonina";"2015";"127";"124";"-";"437";"245";"192";"-";"157";"157";"-";"-";"3";"3";"-";"-";3505005
"Barão de Antonina";"2016";"138";"137";"-";"437";"212";"225";"-";"141";"141";"-";"-";"7";"6";"1";"-";3505005
"Barão de Antonina";"2017";"156";"153";"-";"440";"214";"226";"-";"139";"139";"-";"-";"7";"5";"2";"-";3505005
"Barão de Antonina";"2018";"163";"161";"";"428";"199";"229";"";"146";"146";"";"";"18";"6";"12";"";3505005
"Barbosa";"2014";"330";"330";"-";"904";"397";"507";"-";"228";"228";"-";"-";"-";"-";"-";"-";3505104
"Barbosa";"2015";"341";"341";"-";"767";"375";"392";"-";"213";"213";"-";"-";"32";"18";"14";"-";3505104
"Barbosa";"2016";"345";"345";"-";"828";"369";"459";"-";"211";"211";"-";"-";"35";"20";"15";"-";3505104
"Barbosa";"2017";"368";"368";"-";"843";"370";"473";"-";"207";"207";"-";"-";"39";"22";"17";"-";3505104
"Barbosa";"2018";"375";"375";"";"813";"361";"452";"";"173";"173";"";"";"36";"21";"15";"";3505104
"Bariri";"2014";"1158";"942";"216";"4015";"541";"2837";"637";"1185";"1015";"-";"170";"78";"-";"-";"78";3505203
"Bariri";"2015";"1226";"1015";"211";"3849";"540";"2640";"669";"1125";"961";"-";"164";"115";"37";"21";"57";3505203
"Bariri";"2016";"1464";"1225";"239";"3813";"562";"2566";"685";"1150";"996";"-";"154";"143";"37";"43";"63";3505203
"Bariri";"2017";"1506";"1258";"248";"3681";"548";"2465";"668";"1212";"1065";"-";"147";"146";"43";"48";"55";3505203
"Bariri";"2018";"1488";"1238";"250";"3601";"567";"2360";"674";"1157";"1019";"";"138";"141";"39";"50";"52";3505203
"Barra Bonita";"2014";"1440";"777";"663";"3782";"1299";"1445";"1038";"1442";"1151";"-";"291";"96";"-";"2";"94";3505302
"Barra Bonita";"2015";"1394";"779";"615";"3758";"1286";"1419";"1053";"1352";"1083";"-";"269";"134";"41";"25";"68";3505302
"Barra Bonita";"2016";"1421";"773";"648";"3717";"1266";"1399";"1052";"1338";"1064";"-";"274";"155";"63";"31";"61";3505302
"Barra Bonita";"2017";"1397";"748";"649";"3708";"1288";"1404";"1016";"1298";"1041";"-";"257";"156";"65";"35";"56";3505302
"Barra Bonita";"2018";"1357";"701";"656";"3699";"1270";"1414";"1015";"1320";"1105";"";"215";"153";"69";"34";"50";3505302
"Barra do Chapéu";"2014";"214";"214";"-";"873";"438";"435";"-";"279";"279";"-";"-";"-";"-";"-";"-";3505351
"Barra do Chapéu";"2015";"201";"201";"-";"783";"363";"420";"-";"308";"308";"-";"-";"17";"14";"3";"-";3505351
"Barra do Chapéu";"2016";"202";"202";"-";"805";"381";"424";"-";"307";"307";"-";"-";"19";"15";"4";"-";3505351
"Barra do Chapéu";"2017";"212";"212";"-";"777";"350";"427";"-";"288";"288";"-";"-";"23";"17";"6";"-";3505351
"Barra do Chapéu";"2018";"233";"233";"";"780";"354";"426";"";"223";"223";"";"";"22";"12";"10";"";3505351
"Barra do Turvo";"2014";"244";"244";"-";"1296";"608";"688";"-";"387";"387";"-";"-";"-";"-";"-";"-";3505401
"Barra do Turvo";"2015";"231";"231";"-";"1220";"568";"652";"-";"379";"379";"-";"-";"19";"19";"-";"-";3505401
"Barra do Turvo";"2016";"226";"226";"-";"1244";"560";"684";"-";"393";"393";"-";"-";"20";"19";"1";"-";3505401
"Barra do Turvo";"2017";"216";"216";"-";"1217";"526";"676";"15";"375";"375";"-";"-";"35";"15";"5";"15";3505401
"Barra do Turvo";"2018";"181";"181";"";"1183";"531";"636";"16";"349";"349";"";"";"44";"18";"10";"16";3505401
"Barretos";"2014";"5314";"4096";"1218";"12797";"3626";"6696";"2475";"4566";"3862";"-";"704";"220";"-";"57";"163";3505500
"Barretos";"2015";"5388";"4165";"1223";"12834";"3459";"6663";"2712";"4324";"3548";"-";"659";"780";"190";"415";"174";3505500
"Barretos";"2016";"5557";"4402";"1155";"12919";"3459";"6725";"2735";"4284";"3356";"-";"660";"815";"186";"460";"167";3505500
"Barretos";"2017";"5632";"4728";"904";"12919";"3269";"6892";"2758";"4273";"3249";"-";"678";"892";"212";"494";"185";3505500
"Barretos";"2018";"6382";"4897";"1485";"13366";"3525";"6995";"2846";"4047";"2953";"";"666";"998";"253";"577";"164";3505500
"Barrinha";"2014";"1228";"1190";"38";"4515";"-";"4383";"132";"1239";"1220";"-";"19";"35";"-";"35";"-";3505609
"Barrinha";"2015";"1275";"1226";"49";"4417";"-";"4273";"144";"1193";"1177";"-";"16";"112";"9";"100";"3";3505609
"Barrinha";"2016";"1353";"1304";"49";"4427";"-";"4295";"132";"1244";"1226";"-";"18";"127";"11";"114";"2";3505609
"Barrinha";"2017";"1332";"1293";"39";"4347";"-";"4203";"144";"1199";"1183";"-";"16";"131";"16";"111";"4";3505609
"Barrinha";"2018";"1386";"1344";"42";"4374";"";"4213";"161";"1139";"1113";"";"26";"132";"15";"113";"4";3505609
"Barueri";"2014";"17535";"15938";"1597";"51390";"-";"48253";"3137";"18079";"9606";"7516";"957";"1";"-";"1";"-";3505708
"Barueri";"2015";"17688";"15975";"1713";"51143";"-";"47936";"3207";"15890";"8108";"6792";"990";"975";"112";"843";"20";3505708
"Barueri";"2016";"18179";"16533";"1646";"51312";"-";"47962";"3350";"17095";"9165";"6909";"1021";"1196";"131";"1047";"18";3505708
"Barueri";"2017";"19223";"17722";"1501";"51303";"-";"47991";"3312";"16847";"9024";"6760";"1063";"1347";"163";"1170";"14";3505708
"Barueri";"2018";"20574";"19070";"1504";"51832";"";"48457";"3375";"17005";"8910";"6987";"1108";"1450";"179";"1255";"16";3505708
"Bastos";"2014";"953";"754";"199";"2725";"2256";"257";"212";"856";"782";"-";"74";"57";"-";"-";"57";3505807
"Bastos";"2015";"956";"725";"231";"2748";"2195";"266";"287";"831";"761";"-";"70";"78";"16";"2";"60";3505807
"Bastos";"2016";"928";"697";"231";"2692";"2150";"243";"299";"874";"789";"-";"85";"80";"20";"1";"59";3505807
"Bastos";"2017";"986";"762";"224";"2696";"2125";"256";"315";"836";"755";"-";"81";"87";"26";"1";"60";3505807
"Bastos";"2018";"984";"747";"237";"2643";"2113";"243";"287";"761";"676";"";"85";"77";"28";"14";"35";3505807
"Batatais";"2014";"2293";"1525";"768";"7005";"3010";"2608";"1387";"2267";"1946";"-";"321";"123";"-";"11";"112";3505906
"Batatais";"2015";"2330";"1522";"808";"6824";"2818";"2473";"1533";"2164";"1826";"-";"338";"443";"180";"123";"140";3505906
"Batatais";"2016";"2334";"1551";"783";"6782";"2808";"2436";"1538";"2340";"2021";"-";"319";"331";"91";"110";"130";3505906
"Batatais";"2017";"2398";"1604";"794";"6742";"2777";"2471";"1494";"2256";"1938";"-";"318";"347";"115";"120";"112";3505906
"Batatais";"2018";"2408";"1623";"785";"6832";"2770";"2571";"1491";"2195";"1885";"";"310";"366";"124";"134";"108";3505906
"Bauru";"2014";"15704";"9100";"6546";"43033";"24184";"8449";"10400";"15081";"11998";"-";"3083";"381";"-";"-";"381";3506003
"Bauru";"2015";"16275";"9595";"6620";"42469";"23188";"8352";"10929";"14474";"11450";"-";"3024";"1688";"743";"379";"566";3506003
"Bauru";"2016";"16907";"9799";"7073";"41421";"22188";"8349";"10884";"15473";"12445";"-";"3028";"1605";"658";"359";"588";3506003
"Bauru";"2017";"17278";"10215";"7023";"41017";"21770";"8285";"10962";"15073";"12156";"-";"2917";"1685";"740";"356";"589";3506003
"Bauru";"2018";"17429";"10107";"7282";"42208";"22445";"8455";"11308";"13683";"10934";"";"2749";"1813";"805";"395";"613";3506003
"Bebedouro";"2014";"3563";"2920";"643";"8701";"3093";"3540";"2068";"3310";"2575";"-";"735";"120";"-";"-";"120";3506102
"Bebedouro";"2015";"3522";"2893";"629";"8740";"2791";"3660";"2289";"3148";"2420";"-";"728";"332";"104";"92";"136";3506102
"Bebedouro";"2016";"3574";"2939";"635";"8604";"2670";"3603";"2331";"3155";"2408";"-";"747";"355";"111";"115";"129";3506102
"Bebedouro";"2017";"3709";"2956";"753";"8552";"2551";"3584";"2417";"2938";"2255";"-";"683";"329";"97";"117";"115";3506102
"Bebedouro";"2018";"3937";"3182";"755";"8521";"2564";"3477";"2480";"2951";"2282";"";"669";"348";"123";"121";"104";3506102
"Bento de Abreu";"2014";"140";"140";"-";"256";"112";"144";"-";"113";"113";"-";"-";"-";"-";"-";"-";3506201
"Bento de Abreu";"2015";"121";"121";"-";"266";"117";"149";"-";"104";"104";"-";"-";"3";"2";"1";"-";3506201
"Bento de Abreu";"2016";"143";"143";"-";"275";"113";"162";"-";"100";"100";"-";"-";"3";"1";"2";"-";3506201
"Bento de Abreu";"2017";"144";"144";"-";"285";"115";"170";"-";"83";"83";"-";"-";"9";"3";"6";"-";3506201
"Bento de Abreu";"2018";"146";"146";"";"298";"121";"177";"";"69";"69";"";"";"15";"5";"10";"";3506201
"Bernardino de Campos";"2014";"536";"523";"13";"1256";"575";"661";"20";"363";"358";"-";"5";"36";"-";"-";"36";3506300
"Bernardino de Campos";"2015";"545";"525";"20";"1205";"494";"674";"37";"313";"313";"-";"-";"57";"12";"15";"30";3506300
"Bernardino de Campos";"2016";"496";"474";"22";"1183";"487";"655";"41";"325";"325";"-";"-";"60";"18";"12";"30";3506300
"Bernardino de Campos";"2017";"557";"513";"44";"1170";"459";"656";"55";"330";"330";"-";"-";"59";"24";"14";"21";3506300
"Bernardino de Campos";"2018";"508";"458";"50";"1191";"486";"639";"66";"288";"288";"";"";"73";"26";"16";"31";3506300
"Bertioga";"2014";"3325";"3109";"216";"8990";"3837";"4205";"948";"2867";"2548";"-";"319";"74";"-";"18";"56";3506359
"Bertioga";"2015";"3391";"3163";"228";"8882";"3476";"4481";"925";"2770";"2478";"-";"292";"322";"89";"172";"61";3506359
"Bertioga";"2016";"3660";"3339";"321";"9110";"3316";"4752";"1042";"2917";"2622";"-";"295";"369";"100";"203";"66";3506359
"Bertioga";"2017";"3804";"3519";"285";"9141";"3260";"4804";"1077";"2894";"2599";"-";"295";"408";"139";"218";"51";3506359
"Bertioga";"2018";"3875";"3588";"287";"9202";"3361";"4804";"1037";"2721";"2427";"";"294";"403";"146";"238";"19";3506359
"Bilac";"2014";"316";"316";"-";"737";"348";"389";"-";"210";"210";"-";"-";"-";"-";"-";"-";3506409
"Bilac";"2015";"330";"330";"-";"698";"315";"383";"-";"187";"187";"-";"-";"27";"12";"15";"-";3506409
"Bilac";"2016";"372";"372";"-";"645";"281";"364";"-";"183";"183";"-";"-";"20";"7";"13";"-";3506409
"Bilac";"2017";"337";"337";"-";"670";"300";"370";"-";"152";"152";"-";"-";"30";"7";"23";"-";3506409
"Bilac";"2018";"359";"359";"";"652";"258";"394";"";"173";"173";"";"";"30";"8";"22";"";3506409
"Birigui";"2014";"5545";"4342";"1203";"12500";"4726";"6007";"1767";"4688";"4159";"-";"529";"139";"-";"-";"139";3506508
"Birigui";"2015";"5806";"4640";"1166";"12369";"4492";"6083";"1794";"4690";"4129";"-";"561";"355";"115";"90";"149";3506508
"Birigui";"2016";"6166";"5027";"1139";"12504";"4695";"6006";"1803";"4513";"3903";"-";"547";"354";"113";"82";"159";3506508
"Birigui";"2017";"6406";"5254";"1152";"12630";"4809";"6060";"1761";"4082";"3462";"-";"486";"393";"127";"112";"151";3506508
"Birigui";"2018";"6374";"4744";"1630";"12918";"4747";"5978";"2193";"3745";"3130";"";"415";"421";"148";"113";"156";3506508
"Biritiba-Mirim";"2014";"1066";"987";"79";"4089";"1821";"1974";"294";"1362";"1320";"-";"42";"24";"-";"24";"-";3506607
"Biritiba-Mirim";"2015";"1126";"1046";"80";"3951";"1639";"2014";"298";"1277";"1250";"-";"27";"112";"66";"44";"2";3506607
"Biritiba-Mirim";"2016";"1175";"1101";"74";"3879";"1565";"1998";"316";"1328";"1280";"-";"48";"137";"70";"66";"1";3506607
"Biritiba-Mirim";"2017";"1215";"1142";"73";"3717";"1445";"1986";"286";"1277";"1229";"-";"48";"127";"70";"57";"-";3506607
"Biritiba-Mirim";"2018";"1166";"1097";"69";"3632";"1312";"2024";"296";"1189";"1142";"";"47";"102";"67";"35";"-";3506607
"Boa Esperança do Sul";"2014";"631";"629";"2";"1859";"-";"1751";"108";"456";"456";"-";"-";"-";"-";"-";"-";3506706
"Boa Esperança do Sul";"2015";"636";"616";"20";"1706";"-";"1592";"114";"424";"424";"-";"-";"15";"4";"10";"1";3506706
"Boa Esperança do Sul";"2016";"630";"613";"17";"1639";"-";"1523";"116";"499";"499";"-";"-";"18";"3";"14";"1";3506706
"Boa Esperança do Sul";"2017";"626";"620";"6";"1641";"-";"1526";"115";"468";"468";"-";"-";"19";"3";"15";"1";3506706
"Boa Esperança do Sul";"2018";"600";"600";"-";"1666";"";"1552";"114";"443";"443";"";"";"16";"2";"14";"-";3506706
"Bocaina";"2014";"492";"492";"-";"1376";"619";"757";"-";"398";"398";"-";"-";"51";"-";"9";"42";3506805
"Bocaina";"2015";"512";"512";"-";"1300";"532";"735";"33";"358";"358";"-";"-";"64";"18";"13";"33";3506805
"Bocaina";"2016";"499";"499";"-";"1282";"532";"718";"32";"410";"410";"-";"-";"67";"24";"11";"32";3506805
"Bocaina";"2017";"553";"553";"-";"1279";"518";"733";"28";"367";"367";"-";"-";"62";"23";"11";"28";3506805
"Bocaina";"2018";"559";"559";"";"1284";"520";"735";"29";"356";"356";"";"";"63";"23";"11";"29";3506805
"Bofete";"2014";"412";"412";"-";"1391";"185";"1206";"-";"303";"303";"-";"-";"21";"-";"-";"21";3506904
"Bofete";"2015";"398";"398";"-";"1419";"172";"1228";"19";"280";"280";"-";"-";"25";"1";"5";"19";3506904
"Bofete";"2016";"361";"361";"-";"1452";"158";"1275";"19";"301";"301";"-";"-";"53";"1";"33";"19";3506904
"Bofete";"2017";"398";"398";"-";"1419";"146";"1256";"17";"297";"297";"-";"-";"60";"8";"35";"17";3506904
"Bofete";"2018";"414";"414";"";"1426";"156";"1251";"19";"276";"276";"";"";"58";"13";"26";"19";3506904
"Boituva";"2014";"2687";"2359";"328";"7203";"-";"6067";"1136";"2398";"1988";"-";"410";"58";"-";"-";"58";3507001
"Boituva";"2015";"2740";"2357";"383";"7206";"-";"5923";"1283";"2439";"1986";"-";"413";"225";"17";"127";"79";3507001
"Boituva";"2016";"2796";"2405";"391";"7133";"-";"5856";"1277";"2500";"1989";"-";"393";"238";"23";"141";"71";3507001
"Boituva";"2017";"2723";"2385";"338";"7380";"-";"6072";"1308";"2504";"1951";"-";"361";"236";"33";"133";"67";3507001
"Boituva";"2018";"2672";"2341";"331";"7560";"";"6234";"1326";"2460";"1818";"";"368";"252";"41";"133";"70";3507001
"Bom Jesus dos Perdões";"2014";"1119";"901";"218";"2951";"1245";"1601";"105";"881";"850";"-";"31";"-";"-";"-";"-";3507100
"Bom Jesus dos Perdões";"2015";"1142";"926";"216";"3007";"1276";"1605";"126";"867";"833";"-";"34";"64";"24";"36";"4";3507100
"Bom Jesus dos Perdões";"2016";"1234";"1003";"231";"3030";"1269";"1629";"132";"939";"900";"-";"39";"101";"36";"62";"3";3507100
"Bom Jesus dos Perdões";"2017";"1248";"1039";"209";"3041";"1334";"1582";"125";"867";"826";"-";"41";"97";"37";"57";"3";3507100
